stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,1.41,0.85,0,0,0.28,0,0
21Day,0.74,0,1.48,0.37,0,0,0,0,0.37,0,0,0.37,0.74,1.11,0,0,0.37,0.37,0.37,0,0,0.37,0
3Month,0,0.21,0.21,0,0.1,0.1,0.52,0,0,0.1,0.21,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0.21
22Month,0,0,0,0,0,0.14,2.46,0.14,0,0.14,0,0,0.41,0,0.14,0,0,0,0,0,0,0,0
