stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0.56,0.56,0,0,0,0,0,0,0,0,0.28,2.82,0.56,1.41,0,0,0,15.22,7.33,0.28,0,1.41,0,0,0,0.56,0,0.28,0,0,0
21Day,1.48,0,1.11,0,1.11,0.74,0,0,0,0,0,0,0,0.74,1.11,0.37,1.85,0,0,0.37,6.29,6.66,0,0.37,1.11,0.37,0,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.21,2.18,0.1,0,0.21,0,0,0,1.35,0.21,0.1,0.42,0.21,1.35,0.31,1.04,0.21,0,0.1,0.83,0.1,0.21,0.31,0.1,0,0.94,0.31,0,0,0,0.21,0.62,0.1
22Month,0,0,1.5,0,0,0,0.14,0.41,1.09,3.55,0.27,0,0.96,0,0.14,0.27,1.09,0,0.27,0,0,0.14,0,0.14,0,0,0.14,0.41,0,0,0,0,0,0
