stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,44,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,8.46,0.56,0,0,0,1.41,0,0,0,3.38,0,0.85,14.66,6.48,0.28,0,0,0,0,2.82,0.56,0,0,0,1.13,0,0,0,0.56,0,0,0,0,0,0
21Day,1.85,0,0,12.58,3.33,0,1.48,0,3.33,0,1.11,1.11,19.61,0,0.37,5.55,9.25,2.22,0,0,0,0,0.74,0.74,0,0,0,1.11,2.59,0,0.37,0,0,0.74,0,0,0,6.29
3Month,0.1,1.66,0.42,89.25,0,0.62,0.83,3.12,88,0,9.47,122.53,14.67,10.82,3.12,57.94,98.61,3.85,0.21,0.1,1.04,0.62,0.42,0.1,0.62,0.42,0,0.1,1.66,0.31,2.5,0.31,0,0,0.1,2.5,2.39,27.36
22Month,0,2.46,0.68,20.09,0,0.55,1.78,0.68,127.9,0.14,14.35,90.05,30.88,5.33,0.14,12.3,89.64,3.96,0.14,0.68,0.41,0,0.41,0,0.14,0.55,0.55,0.14,0.27,0,2.19,0.14,0.27,0,0.27,0.27,0,10.66
