stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,6,0,5,0,0,0,0
72hpf,0,0.28,0.28,0,0,0.28,1.69,0.56,0,0.85,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0
3Month,0.1,0,0.21,0,0.52,0.1,0.21,0,0,0,0,0.62,3.22
22Month,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0
