stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,18,16,0,34,0,0,0,1,0,0,0,0,0,0,0,3,1,4,99,0,0,0,0,67,201,0,37,0,0,0,0,0,1,0,0,0
72hpf,24.24,1.69,0,18.32,1.13,7.05,0,0.28,0,0,0,0,0,1.13,0,0.56,10.43,0,71.03,0,0,3.1,0,38.9,42.84,0,77.79,0,0,5.36,0,0.28,3.38,0,0,0
21Day,43.29,0.37,0,21.09,1.11,14.06,0,1.11,0,0,0,0.74,0,0.74,0,1.85,3.33,0,95.46,0.37,0,18.5,0,10.73,8.14,0,54.39,2.22,0,2.22,0.74,0.74,1.85,0.37,0,1.85
3Month,0.52,0.31,0.1,17.37,0,0,0,0,0.31,0.1,0.21,1.46,0.1,0,0.73,0.31,0.73,0.52,7.59,1.14,0,0.52,0.21,0.31,0,0.21,0.1,0.31,5.1,0.62,0,0,0,1.66,2.81,0.42
22Month,0.14,0.55,0,3.55,0,0,0.14,0,0,0,0,3.83,0.68,0,0.41,0,0.41,0.14,3.96,0.14,0.14,0.27,0,0.55,0,0,0,0,1.23,0.55,0,0,0,0.14,0,0
