stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0,0
22Month,0.14,0.68,1.5,1.09,0.68,6.15,0.82,0.41,0.27,0.41,0.14,0.41,0,0.27,34.3,0.27,0.14
