stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0,0.37,1.48,0,0,0,0.37,1.48,0,0,0,0,0,0
3Month,0,0.1,1.66,0,0.1,0.21,0.21,0,1.35,0.21,0,0.31,0.1,0,0.21,0.42,2.39,0,0.1,0.1,0,0.1,0.21,0,0,0.1,2.29,0,0,0.21,0.1,0.1,0.1
22Month,0.14,0.27,2.19,0.14,0.14,0.41,1.91,0.82,7.79,0.68,0.27,1.09,0.27,0.14,0.68,1.5,0.41,0.41,0.82,0.14,0.14,0,0.14,32.52,0.14,0,1.91,0.14,0.14,0,0,0,0
