stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0.85,0,4.51,0.56,0.28,0,0,0.56,0.28,0,0,0
21Day,0.74,0,0,0.37,0,0.37,0.37,0,0,0,0.74,0.37,1.48,0,2.96,1.11,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0,0.1,0,0,0.1,0.42,0.1,0.21,0,0.1,0.21,0,0.1,0,0,0,0.21,0,0,0.1,0.1,0.1
22Month,0,0,0.14,0.14,0,0,0,0.55,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0
