stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,4,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0
72hpf,2.82,0.85,0,2.25,3.66,1.97,0,0,0,0,0,0,0,0,0,0.85,3.66,0.28,27.9,0,0,3.1,0,196.73,12.12,0,0.28,41.43,0,0,1.69,0.85,1.13,2.25,0,0
21Day,9.99,0.37,0.74,9.62,5.92,13.32,1.48,0,0,0,0,2.96,0.74,4.81,2.22,2.22,8.88,2.22,100.27,0,0,18.5,0.37,270.83,8.88,0.74,1.48,42.55,11.1,0,3.7,2.22,5.92,1.48,0,1.48
3Month,0.1,0.31,0.21,1.98,0.62,0,0,0.31,0.31,0,0,0.83,0.31,0,0.62,0,0.31,0.21,4.99,0.31,0,1.25,3.85,4.16,0,0.1,0.1,0.1,0.21,2.5,0.1,0.1,0.1,0.31,0.94,0.21
22Month,0,0.55,0,0.82,0.14,0,0,0,0.41,0.96,0,3.42,0.41,0,0.68,0,0.96,0.27,3.01,0,0.14,0.68,0.27,6.56,0.27,0.27,0.14,0.14,0,1.78,1.09,0.27,0,0.14,0.55,0
