stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.56,0.85,0,0,0,0,0,0,0,0,0.28,1.41,0,1.41,0,0,0,175.59,3.95,0,0.28,3.1,0,0,1.41,40.3,28.75,0.56,0,0
21Day,1.11,0,2.96,1.48,0,1.11,0,0,0.37,0,0.74,0,0,1.11,0.37,2.22,0,0.37,0,22.94,1.85,0,0,0.37,3.33,0,0,26.64,13.69,0,0,0
3Month,0,0,0,0,0.1,0,0.1,0,1.04,0.1,0,0.52,0,0,0.1,0.21,0.1,0.1,1.66,0.31,0,0,0,0,0,0.94,0,0.31,0.1,0,1.35,0.1
22Month,0,0.14,0.14,0,0,0.14,0.27,0.55,4.65,0.14,0.14,0.27,0,0,0.27,0.14,0,0,0,0.68,0,0.14,0.14,0,0.14,0.14,0,9.57,0,0,0,0.14
