stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,11,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72hpf,39.46,0.28,0,0.56,0.85,0,0,0,0,0,3.38,0,0.28,1.69,0.28,0.85,1.41,3.1,1.69,0.56,0,0,0,0,0,0,0
21Day,37,0.74,0.37,1.85,1.48,0,0,0,0.37,0,8.51,0.37,0.37,0.74,1.11,4.07,0.37,2.22,1.48,34.41,1.48,0,0.74,0.74,0.37,0,1.11
3Month,0.1,1.87,0.1,0.83,0,0,0,0,0.83,0.21,0.1,0.52,0,0.21,0,0.21,0.1,0,0,0.1,0.21,4.26,0,0,0,11.34,0
22Month,0,0.55,0,0.14,0,0.14,0.14,0.27,0.96,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0.55,0,0,0,0,0
