stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.28,0.56,0,0,0,0,0,0.28,0,0.28,0,0.28,0,2.25,1.13,0,0,0.28,0.28,0,0.28,0,0,0
21Day,0.37,0,0,1.85,0,0.74,0.37,0,0,0,0,0,0,1.48,0,1.11,0,0.37,0,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.1,0.1,0.73,0,0,0,0.1,0.1,0.21,0.52,0,0.31,0.21,0.1,0,1.56,0,0,0.1,0.1,0,0.1,0.94,0,0.1,0.52,0.31
22Month,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0
