stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0.28,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,9.99,0.74,0,0,0,0,0,0,0,0,0.37,8.14,0,1.11,0,0,0,0,0.74,0.37,0.37,0,0,0,0,0.74,0,0,0
3Month,0.21,0.21,0,27.67,0,0.21,0.52,0.73,0,3.43,1.87,0.1,0.94,0.31,87.79,0.73,1.35,0.1,0,0.31,0.21,0.31,0,0.31,0.1,0.1,0.52,0.73,0,2.7,0.42,0.52
22Month,0,0.14,0.27,7.93,0,0,0.27,0.41,0.14,17.76,0.41,0,0.27,0,9.7,0.14,0.55,0.14,1.23,0,0,0,0,0,0.27,0,0,0,0,0.14,0,0.14
