stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,13,2,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,27.62,0,0,0,0,49.32,2.54,27.06,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0.37,0,1.11,0.37,35.52,0,0,0,0,36.26,1.11,8.14,0.37,0.37,0,0.37,0.37,0.37,0,0,0.74
3Month,0,0,0.1,0.62,0,0,0,0.1,0.31,0.1,0.62,0,2.08,0.31,0.1,0.52,0.1,0.21,0.62,13.42,0.42,0,0.21,0.1,1.98,0,0,0,1.35,0,0,0,0.1,0.21,0.31,0.21
22Month,0,0.27,0.14,0.55,0,0,0.14,0,0.14,0,0.82,0.14,5.06,0.27,0.27,0.55,0,0,0.96,14.89,0.41,0.27,0,0,3.14,0,0,0,3.55,0,0,0,0,0,0,0
