stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0.56,0.56,0,0,0.28,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,3.33,0.74,0.74,0.37,0,0,0
3Month,0.52,0,0,0,0.1,0,4.06,0.52,0,0.1,0.62,0,0.42,0.21,0,0.1,0.1,0,0,0,0.31,0,0.31
22Month,0,0,0,0.14,0.14,0.14,3.42,0.14,0.14,0,0.14,0.14,0.14,0,0.27,0,0,0,0,0,0,0.14,0
