stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,2,0,0,0,0,13,108,0,2,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,12.97,0.28,0,0,0,0,0,0,0,0,0,0.85,14.37,0,0,0,0.28,0,0.28,4.79,7.05,0.28,0,0.56,0.56,0,0,0,0,0
21Day,0.74,0,0,64.75,0.74,0,0,0.37,0,0,0.74,0,0.37,0,2.22,1.85,0,1.11,0,0,1.48,0,2.22,1.85,0.37,0,1.11,1.85,0,0,0,0,0.37
3Month,0,0.1,0.42,77.6,0,0.42,3.43,1.04,0,0,4.16,1.56,0.1,8.01,16.85,0.94,0.73,1.25,0.1,0,5.51,1.46,0.62,0,1.25,0,0.31,0.42,3.12,0,0.52,1.04,0.73
22Month,0,0.27,1.78,23.64,0,0.41,5.88,0.68,0.14,0,11.75,0.27,0,12.03,5.74,0.82,0.27,0.41,0,0.14,8.61,0.27,0.14,0,2.05,0.14,0,0,1.64,0.14,0,0,0.14
