stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,13,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.69,1.69,0,0.28,0,0,0.28,0,0
21Day,0,0,0.37,1.11,0,0,0,0,0.37,0.37,0,0,0.74,0.37,1.85,0,0.74,0,0.37,0.74,0.37,1.11,0,0,0,0,0
3Month,0.1,0.1,0.62,0,0.42,0.31,0,8.22,0.31,0,1.04,0.31,0.31,0.31,0.1,0.1,0,0.21,0,0,0.31,0,0.1,7.28,0,2.18,0.1
22Month,0.14,0.14,0.41,0,0.14,0.41,0,0.68,0.14,0,0,0,0,0.68,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0.27
