stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Neural_cell,Oligodendrocyte
24hpf,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,2.82,0
21Day,0,0,0.37,0,0,1.48,0.37
22Month,0,0.55,0,0.27,0.14,0,0
