stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,3,0,0,0,0,0,0,0,2,3,1,4,1,13,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,2.82,0,0.28,2.82,2.54,0.28,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0.37,0,0,0,0,0
3Month,0,0,0.83,0,0.1,0.31,0,0.21,0,0.52,0,0.21,0,0.42,0,0.1,0,0.1,0.94,0.1,0.1,0.31
22Month,0,0.14,0.27,0,0,0.14,0.14,2.19,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0
