stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,37,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.85,2.25,0.56,6.76,0,0,0,1.69,0.28,1.97,6.2,0.85,9.3,0.28,0.56,0.28,655.86,78.92,0,0.56,9.3,0,4.51,21.98,16.35,0.56,0
21Day,2.96,0,7.77,0,3.7,1.11,0,0.74,2.22,0.74,0,5.18,1.85,5.92,0,0.37,0,97.68,9.62,0.37,0.74,1.48,2.96,1.11,41.81,84.73,0,1.11
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.1,0,0,0,0,0,0.1,0,0,0
22Month,0,0,0,0,0,0,0.27,0.41,0,0,0,0,0.27,0.14,0,0,0,1.09,0,0,0,0,0,0.27,16.4,0,0,0
