stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0,0,0.85,2.54,0,0,0,0,5.07,0,0,0,0,0,0
21Day,0.74,0,0,0.37,0.74,0.37,0,0,0,0.37,0.37,0.74,0.37,1.85,0,0,6.29,4.44,0,0,1.11,0,18.5,0.37,0.74,0.74,0,0,0.37
3Month,0,0.1,0,0.52,0.1,0,0,0.73,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0,0.31,2.91,0,0,0,0.1,0.21,0.21
22Month,0.14,0,0.27,0.55,0,0,0.55,6.7,0.27,0.27,0.55,0,0.55,1.09,0.41,0,0,0.14,0,0.14,0,0,10.25,0,0,0,0,0,0.41
