stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,3.1,3.95,0,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0,0.37,0.37,0.74,1.48,0,0,0.37,0,0,0,0.37,0,0.37,0.74,0.37,0.37,0,0,0,1.11,1.48,0,0,1.48,0,0,0,0,0,0,0.37
3Month,0,0.21,2.81,3.33,0,0.1,0.52,0.73,0,2.08,1.14,0,32.56,0,0.62,1.25,0.73,0.1,0,0,0,0,0.21,0.1,0.1,0.21,0.42,0.1,0,0.42,0.1,0.94
22Month,0,0.27,0.55,0.27,0,0,0.14,0.96,0,2.6,0,0.14,4.51,0,0.14,0,0.14,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0
