stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,7,0,0,0,0,0,3,0,0,0,0,0,4,1,7,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,1.97,0,0,0,0,0,0,0,0,0,0.85,1.97,0,0.85,0,0.28,0,0,1.41,1.69,0,0,0,0.28,0,1.13,0,0,0,0
21Day,0,0,0,8.51,0.37,0,0.74,0,0,0,0.37,0,0.37,0,0.37,1.85,0.37,1.48,0,0,0.37,0,1.11,1.48,0,0,0,0,0.74,0.74,0.37,0,0,0
3Month,0.31,0.31,0.31,10.3,0,0,0,0.73,0.1,0,2.81,0.83,0.1,3.22,1.04,1.66,0.73,1.04,0.1,0,0.31,0.21,0,0.1,0.1,0.31,0,0.42,46.91,0.1,0,0.31,5.1,0.42
22Month,0,0,0,1.37,0,0.27,0,0.27,0,0,1.91,0.27,0.14,1.37,0,0,0.55,0.14,0,0.14,0,0.14,0,0,0,0.27,0.27,0.27,11.21,0,0,0,0,0
