stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.76,0.85,0,2.54,0.85,3.38,0,0,0,0,0,0,0,0,3.66,0.56,8.46,0,0.28,0.28,339.91,29.88,0,4.51,9.3,0,0,4.51,0.28,0.28,0.85,0,0
21Day,11.1,1.48,0.37,2.59,0,2.59,0,0.74,0,0,0.37,0,0.37,0.74,1.11,0.37,2.96,0,0,0,99.9,4.81,0,1.48,2.59,1.48,0,1.11,0.74,1.11,0,0,0
3Month,0.31,0.83,0.21,1.56,0,0,0,0,0.21,0,0.94,0.1,0.21,0.21,0.1,0.1,4.47,0.31,0,0,1.14,0,0.52,0,6.14,0,4.37,0.31,0.21,0,0,2.29,0.21
22Month,0.27,0.68,0,0,0,0,0.14,0,0,0.27,1.91,0.27,0,0,0.27,0.41,1.91,0,0.14,0,1.5,0.14,0.55,0.14,3.55,0,3.14,1.5,0,0,0,0.55,0
