stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,0,0,2,0,0,0,0,2,0
72hpf,0,0,0.28,0.28,2.25,0,0,0,0,0,0,0,0.28,0.56,0.28,3.1,0,0,18.04,9.3,0,0,1.13,0,0,1.69,0,6.48,0
21Day,0.37,0,1.48,0,0.74,0.37,0,0,0,0,1.11,0,0,1.11,0,2.96,0,0.37,4.07,3.33,0,0,2.22,0.37,0,0,0.37,0.37,0
3Month,0,0.1,0.1,0,0,0.1,0,0.1,0.73,0.1,0,0.1,0,0,0.1,0.1,0.1,0.21,0,0,0,0,0.1,0,0.42,0.1,0,0.94,0.42
22Month,0,0,0.14,0,0,0,0.14,0.41,2.6,0.14,0,0.55,0,0.27,0,0.68,0,0,0,0,0.14,0.14,0,0,0,0.27,0,0,0
