stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0
3Month,0.21,0.31,0.1,0.1,0.42,0.31,0.1
22Month,0,0,0,0,0.41,0,0
