stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,1,0,0,0,1,1,1,1,6,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.97,1.69,0.28,0
21Day,0,0,0.37,0,0,0,0,0.74,1.11,1.85,0.37,0.37
22Month,0,0,0,0.27,0.14,0,0,0,0,0,0,0
