stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,58,0,1,0,0,0,0,0,0
72hpf,2.54,1.13,1.97,1.41,0,0,0,0,0,0,0,0.28,1.13,0,6.2,0.28,0.56,0,139.8,41.71,0,6.2,0,4.51,0,0.56,0,0
21Day,4.81,0.37,2.59,0.37,0,0,0.37,0,0,0,0.74,0,1.48,0.37,11.47,0,0.74,0,65.86,8.14,0.74,2.96,0.74,1.85,0.74,2.22,1.11,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.27,0,0.14,0.14,0,0.14,0.41,0.14,0,0,0,0,0.41,0,0,0.14,0,0,0.27,0,0,0.14,0.14,0,0,0.14
