stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,5,10,0,0,2,0,0,0,0,0,1,13,3,41,1,3,0,0,1
72hpf,0,0,0,0,0,0,0,0,0,1.13,0,0.85,1.41,3.66,0,0.56,0,0.85,0
21Day,0.74,0.37,3.7,1.11,0,0,0.74,0,0.37,0,0,0.74,1.48,1.11,0,0,0,0,0
3Month,0,0.1,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0,0,0,0,0,1.78,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0
