stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0.85,0,0,0,0,0,0,0,0,0,0.28,2.54,0.28,1.41,0,0.28,0,79.76,15.78,0,0,1.97,0,0,1.97,0,0.56,0,0,0
21Day,0.74,0,0,1.11,0.74,0,0,0,0,0,0.74,0,0,0,0,0.74,0,1.85,0,0,0.37,37,6.66,0,0.37,1.48,2.59,0,0.37,0.37,0.37,0,0,0.74
3Month,0,0.1,0.1,1.14,0,0,0.1,0.1,0.21,0,1.35,0.52,0.21,0.52,0,0.42,0.52,2.81,2.18,0,0.1,0.83,0.52,0.1,0,0.1,0.1,3.02,0,0,0,0.31,0.73,0.42
22Month,0.14,0.14,0,0.27,0,0.27,0,0,0.27,0.14,4.1,0.14,0,0.68,0,0.14,0.55,5.06,0.14,0,0,0.27,0,0.14,0,0.14,0.14,8.88,0,0,0,0,0,0.14
