stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0
21Day,1.11,0,0,3.7,0.37,0,0,0,0,0.37,0.74,1.48,0,0,0.74,1.85,1.85,0,1.11,0,1.85,0.37,0,0,1.11,0,0,0,0.74
3Month,0,0.73,0.1,2.39,0,0.42,0.52,1.98,0,2.39,2.81,0.31,1.04,0.62,0.52,2.81,1.66,0.52,0.1,0.52,0.21,0,0.21,0.1,0.21,0.21,1.04,0.42,1.25
22Month,0,1.09,0,0.41,0,0.14,0,2.32,0.14,3.83,0.27,0,1.23,0,0.14,3.01,1.09,0,0.55,0,0.14,0,0.41,0,0,0.27,0.14,0,0.27
