stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,1,0,0,0,0,0,0,3,0,0
72hpf,0.28,0.28,0,0,0,0,5.64,3.1,0.85,0
21Day,0.37,0,0,0,0.74,0,1.48,1.48,0,0
22Month,0,0,8.06,0.27,0,0.14,0,0,0,0.14
