stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,2,0,0,0,0,0,0,0,3,2,0,2,11,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0.28,1.13,0.56,0,0.28,0
21Day,0.37,0,1.11,0.37,0,0,0,0.74,0,0.37,0,0.74,0,0,1.85,1.48,0.37,0.74,0.74
22Month,0,0,0,0,0.14,1.23,0.14,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0
