stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,32,0,0,0,0,3,50,0,0,60,0,0,0,0,1,0,0,0
72hpf,2.25,0.28,0,1.41,0.28,2.54,0,0.28,0,0,0,0,0,0,0,0,0.56,2.25,0.56,8.17,0,0,0,0,13.81,9.3,0,0,129.65,0,0,1.69,0,52.99,0,0,0
21Day,9.25,0,0,2.22,0,0.37,0,0.37,0,0,0,0,0.37,0.37,0.37,0.74,0,0.37,0,9.99,0,0,0.37,0,3.33,4.44,0.74,0.37,10.73,0.37,0.37,0.37,0.37,33.67,0,0,0.37
3Month,0.1,0.21,0.1,2.18,0,0,0,0,0.42,0,0,0,1.66,1.04,0.1,0.94,0.31,2.7,0.52,1.66,1.04,0,0.31,0.31,0.1,0,0.83,0.21,0.1,0.31,4.47,0,0,1.77,0.1,13.94,0.52
22Month,0,0.68,0,1.09,0,0,0.27,0.14,0.41,0.96,0.41,0,7.38,0.27,0,1.91,0.14,0.14,0.68,1.78,0.14,0.27,0.14,0,0,0,0.27,0.82,0.27,0.14,5.6,0.14,0,0.27,0,0,0
