stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.25,0,0.28,0,0.56,0,1.13,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,3.7,0,0.37,0,0,0,2.22,1.11,0,0,0
3Month,0.1,0.1,0,1.04,0,0.1,0,0.1,0,2.39,0.31,0,0.73,0.31,0.21,1.14,0,0.1,0.1,0,0,0.1,0.21,0,1.77,0.21
22Month,0,0.41,0.27,1.23,0,0,0.14,0.82,0.68,15.3,0,0.14,1.09,0.68,0.55,2.19,0.27,0.27,0,0,0.14,0,0.14,1.5,0.55,0.68
