stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,18.04,0,0.56,0,0,0.56,1.13,0.56,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,1.85,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0.21,22.26,0.1,0.42,1.35,0.73,0.1,0.31,0.42,0.21,14.35,0.1,0.21,0.1,0,0,0,0.31,0.31,0.42,0.42
22Month,0,0,0.14,0,0,0.14,0,0,0.14,0,0,0.68,0,0,0,0,0,0,0,0,0,0
