stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,54.96,0.56,0,0.28,0,1.41,0,0,0.28,0,0,0,0,0.28,0.56,0,3.1,0,0,0,0,7.61,4.23,0,0,1.97,0,0,0.56,0,0.28,0,0,0
21Day,33.3,0,0,5.18,0,1.11,0.37,0,0,0.37,0,1.85,0.74,0.37,1.85,1.48,7.77,0,0,0.74,0,4.07,4.44,1.11,0,0.37,1.48,0,0.37,0.37,0,0,0,0.74
3Month,3.43,0.1,0.1,1.46,0,0,0.1,0.42,0.21,2.5,0.52,0,1.25,0,0.83,0.21,0.94,0.1,0,0.83,0.1,0.31,0.83,0.42,0.1,0.1,0.1,7.59,0,0,0,0.1,1.46,0.62
22Month,0.14,0.14,0,0.55,0.27,0,0,0.82,0.68,2.19,0.14,0.55,1.5,0,0.14,0,0.27,0,0.27,0.27,0,0,0,0,0,0,0,9.98,0,0,0,0.14,0,0
