stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0
72hpf,1.41,0,1.13,0,2.25,0,0,0,0,0.28,1.97,0.28,0.56,0.28,0.28,0,170.52,7.33,3.1,0,0,0.85,0,0.28,0.28
21Day,0.74,0,0.74,0.37,1.48,0,0.37,0.37,0.37,0,2.22,0.37,0,0,0,0.37,64.38,1.85,1.11,1.85,0,0.37,0.74,0.37,0
3Month,0,0.1,0.21,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0.14,1.09,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
