stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0.56,0.56,0,0,0.28,0,0,0,0,0
21Day,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,4.47,0.21,0,0,0.31,0.1,0,8.53,0.1,0,0.83,0.73,0.1,0.21,0.42,0.1,0,1.66,0.31,0,0.1,0,1.98,0,0.1,0.1,52.01,0.21
22Month,0.14,2.87,0,0,0.55,0.14,0.14,0.14,47.96,0.14,0.14,0.27,0.14,0,0.41,0.27,4.78,0.14,0,0,0,0.14,0.14,1.37,0.14,0,0,0.68,0.14
