stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0
72hpf,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0.85,0,0,0,0,2.82,0.56,0,4.51,0,0,0.28,0.28,0,0,0
21Day,1.85,1.48,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0.37,5.92,0,0,1.85,0,1.85,0.74,0,3.7,0.37,0,1.48,0,0,0,0.37
3Month,0.1,3.64,1.98,1.98,0.1,0,0,0.21,1.14,0.1,0.1,0,7.49,0.31,0.1,0.94,0.42,1.87,0.31,10.3,2.7,0,0.31,0.21,0.21,0,0.31,0.52,0.1,0.83,0.1,0.1,1.35,2.08,0.21
22Month,0,4.78,0.41,1.5,0.14,0.14,0.14,0.14,0.14,0.55,0.41,0,9.57,0.27,0.14,1.64,0,0.27,0.41,8.88,0.41,0.41,0.27,0,0.14,0,0.55,0.14,0.14,1.37,0.14,0.14,0.41,0.14,0.41
