stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,9.99,0,0,0,0,0,0.37,0,0.37,1.11,0.37,0.37,0,0,0,0.74,0,0,0.37,0,0.37,0.37,0,0,0.37
3Month,0,0.21,0.1,8.01,0.1,0.42,0.73,1.46,0.94,0,1.25,0.21,0.83,0.42,0.94,0.1,0.83,0.31,0.21,1.04,0.42,0,1.25,106.62,0,0.42,6.24,0.52
22Month,0,0.14,0,6.01,0.14,0,0,1.37,0.14,0.27,0,0.14,0,0.68,0.41,0,1.37,0,0,0.82,0,0,0,3.55,0,0,0,0.27
