stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0.37,0,0.37,2.96,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.21,0.31,4.26,0,0,0.62,0.1,3.22,0.62,0.1,3.12,0.31,0.83,0.52,0.1,0.21,0,0.1,0.21,0.1,0,0.21,0.1,0.73,0.1,0.31,0.62
22Month,0.14,0.55,1.78,0.14,0,0.55,0.27,2.87,0.41,0.27,4.51,0,0.41,0.55,0.27,0,0.14,0.14,0,0.14,0,0.14,0,0,0.14,0,0.27
