stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0
3Month,0.42,0.31,0,0.1,0.21,0.52,0.21,0.21,0.31,0.31,0.21,0.1,0.1,0,24.96,0.1,0.1,0.31,0,0.1,0.1,0.62,0.1
22Month,0.14,0,0,0,0,0.68,0,0,0,0,0.14,0,0,0,4.92,0,0,0,0.14,0,0,0,0
