stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,2.22,0.37,0,0,0,0,0,0,0.74,0,0,6.66,0.37,0.74,0,0,0.74,0,0,0,0
3Month,0,2.08,0,0,0,0.21,0,1.14,0.21,0,1.77,0.21,0.31,0.42,0,0.1,0.21,0,0.21,0.1,0.52,0.42
22Month,0,0.27,0,0.14,0.14,0.14,0.27,1.23,0.14,0.14,0.68,0,0,0,0.14,0,0,0,0,0.14,0,0
