stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Macrophage,Neural_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,1.13,0,0
21Day,0,0,0,0,0,0.37,0.37,0
3Month,0.1,0,0.1,0,0,0,0,0
22Month,0,0.14,0.68,0.14,0.14,0,0,0.14
