stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,2,19,0,0,3,0,0,0,0,1,0,0,0
72hpf,2.25,1.41,0,2.82,1.69,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0.56,34.95,0,0,0.85,0,2.82,2.82,0,0,58.91,0,0,0,0,0.28,0,0,0
21Day,2.96,1.85,0,2.96,0,1.11,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.37,73.63,0,0,10.73,0,1.85,2.22,0,0,34.78,2.22,0,0,1.11,0,0,0.37,0
3Month,0.21,2.81,0,2.39,0,0,0,0,0.21,0.52,2.7,0,1.56,0.31,0.1,0.83,0.1,1.04,1.14,52.11,24.44,0,1.66,0.42,0.21,0.1,0.31,0.1,2.7,0.1,0.73,0.21,0,0.1,0.52,0.21,0.31
22Month,0.27,13.12,0.14,0.82,0,0,0.14,0,0,0.14,0.82,0.96,62.86,0.55,0.27,0.82,0,0,0.82,37.17,1.5,1.23,0.68,0,0,0,0.55,0.27,0.41,0.14,0.41,0,0,0,0,0,0
