stage,Cardiomyocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,1,0,0,0,0,0
72hpf,0,0.28,0,1.13,0,0,1.41,0,0,0
21Day,0.37,0,0,5.55,0,0,3.33,0,0,0
3Month,0,0,0,0.1,0,0.1,1.25,0.1,0.1,0.21
