stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,0,5,43,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0.28,5.64,0,3.1,0,0.28,0,1.69,1.69,0,0.28,0,1.41,0.28,0,0.56,0,0,0.56,0,0,0
21Day,1.48,0.37,0,2.96,0.37,2.59,0,0.37,0,0.37,0,0,0,0,0.37,0,3.33,0.37,1.85,0,0.74,0,2.59,2.22,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0
3Month,0,0.42,0.21,3.12,0,0,0,0.1,1.35,0.31,0.1,2.29,0.31,0,3.22,0.52,0.31,0.94,3.43,0.73,0.52,0.21,0.42,0.1,0.1,1.46,0,0,0.21,1.77,0.21,0,0,0,0.83,1.46,0.73
22Month,0,0,0.27,1.23,0,0,0.41,0,0.27,0.27,0.41,6.01,0,0.14,3.28,0.14,0,0.27,1.09,0,0.14,0,0,0,0.14,1.09,0.14,0,0,0.41,0.41,0,0,0,0,0,0.41
