stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0.74,0.37,0.37,0,0,0
3Month,0.1,0,4.16,0,0,0.73,1.87,0.42,0.1,0.1,0.21,0.73,3.74,0.52,0.21,0,0.1,0.21,0,0.1,0.1,0,0,0.42,0.1,0.21,0.31
22Month,0.14,0.14,1.23,0,0.14,0.41,6.42,0.27,0.27,1.09,0.14,0,2.05,0.41,0,0.27,0,0,0,0,0.14,0.14,0,0.14,0,0,0.14
