stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,1,10,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.4,0.56,0.56,0,0,0.28,0,0,0,0,0,0,1.13,28.47,0.28,0,0,0,0,0,3.1,1.69,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,19.98,0,0.37,0,0,0.37,0,0,0,0,1.11,0,0,18.87,0,1.11,0,0,0,0,0,0.74,0,0.37,0.74,0,0,0.37,0.37,0,0,0.37
3Month,0,0.1,0,32.66,0,0,0.1,1.14,0.52,0,0,2.29,1.77,0,0.83,1.04,15.29,1.14,0.73,0.21,0,0.21,0.42,0,0,0.21,0,0.21,3.22,0.1,0,0,0.42,0.31,1.56
22Month,0,0.14,0.27,7.24,0,0,0,1.5,0.14,1.09,0,3.42,1.5,0,0.55,0,3.55,4.37,0.27,0,0.14,0.41,0,0,0,0.27,0,0,1.5,0,0,0,0,0,0.68
