stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.41,0,0,0,0,2.25,0.56,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,0,2.22,1.11,0,0,0.37,0.37,0,0.37,0.37,0.37,0.37,0.37,0.74,0.37,3.7,0,0,0.37,0,3.33,1.48,0,0,1.85,0,0,0,0.37,0.37,0,0,0.37
3Month,0.21,1.14,0.31,8.43,0,0.1,0.21,1.66,2.39,0,9.78,2.08,0.31,5.2,0.73,1.98,1.66,2.91,0.1,0,1.98,1.35,0.42,0.52,0.83,0.21,0.21,0.31,1.35,0.1,0,0,1.04,0.73,3.12
22Month,0,0.55,0,1.78,0,0,0.27,0.41,0.82,0.14,2.87,0.41,0,1.23,0.14,0.14,1.78,0.41,0,0.41,0.14,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.27
