stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.13,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0
3Month,0.1,1.56,0,0.1,0.1,0.31,0,1.77,0.62,0.94,0.1,0.31,0.73,0.21,0.42,0,0.1,0.31,0.31,0,0.1,0.1,0,0.1,0.31,61.89,0.42,7.18,0.52
22Month,0,0.41,0,0.14,0,0.27,0.14,2.73,0.14,0.96,0,0.14,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0.96,0,0.14,12.57,0,0,0.14
