stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.85,0,0,0,0,0,0,0,0,2.25,0,0,1.41,1.13,0,0,0,2.54,0,0,0.28,0
21Day,0,0,0,5.55,0,0,0,0,0,0,0,0,2.59,0,0,0,0.37,0,0.37,0,2.59,0.37,0.37,0,0.37
3Month,0.1,0.42,0.21,0,0.1,0,0,0,1.04,0,0.1,0.1,0.62,0,0.62,0,0,0.1,0,0,0,0,0.1,0,0
22Month,0,2.05,0.55,0,0,0.27,0.14,0.14,6.7,0.14,0.55,0,0.68,0.14,0.14,0,0.14,0,0,0.14,0,0,0.27,0.27,0
