stage,Endothelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell
72hpf,0,0.28,0.56,0.28,0.56
21Day,0,0.74,0.37,0.37,0
3Month,0.1,0.62,0,0,0
