stage,Epithelial_cell,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,3,1,0,0
72hpf,0,0.56,0.28,0.28,9.86,0.56,0.56
21Day,0.37,0.37,0,0.74,2.22,0,0.74
