stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,3,0,4,0,0,0,0,2,0,0,0,0,0,2,5,0,0,0,5,427,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.13,0,3.1,1.97,0,0.28,0,0,0,0.28,0.28,2.25,7.05,0.85,3.66,0,0,0.28,100.34,312.85,0.28,0.56,0,7.61,0.28,0,30.44,0.56,0,0,0
21Day,0.37,0,0,2.22,2.96,0.37,0,0,0,1.11,0.37,0.37,0,0.74,0.37,1.85,0,0.37,1.11,15.91,92.13,0,0,0,0.74,2.96,0,9.99,0,0.74,0.37,0.74
3Month,0,0,0.1,0.62,0,0,0,0,0,0.21,0.21,0.1,0,0.1,0,0.31,0.1,0,0.1,0.21,0.52,0,0,0,0,0,2.18,0.21,0,0,0,0.1
22Month,0,0.14,0,0.41,0,0,0,0.14,0,0.96,0.14,0.14,0,0,0.14,0.41,0,0,0,0,0.14,0.14,0.14,0.14,0,0,4.37,0,0,0,0,0.14
