stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.56,0.28,0,0,1.69,1.13,0.85,0.56,1.13,0,0.28,0
21Day,0.74,0,0.37,0,0,0.37,0,0,0,4.81,0,0,9.62,0.74,0.37,3.33,0,0,0,0
3Month,0.1,0.1,0.94,2.5,0.1,0,0,0.21,0,0.83,0.21,0,0.62,0.1,0.1,0.94,0,0.1,0.1,1.35
22Month,0,0,0,2.19,1.23,0,0.14,0,0,0.68,0,0.14,0.41,0,0,0.82,0,0.14,0.14,0
