stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.82,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,4.23,0,0.56,0,0,0,0,0,0.28,0,0,1.69,0,0,0,0,0,0,0
21Day,0,1.48,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0.37
3Month,0,109.11,0.1,20.91,0.1,0,0.31,0.42,1.04,2.08,15.39,1.98,0.1,11.23,0.83,8.32,1.87,6.55,0.73,0.1,0.62,0.31,0.52,0.1,0.31,0,0.21,0.62,7.28,0.1,0.1,0.83,2.5,0.94
22Month,0,30.34,0.55,3.14,0,0,0.14,0,0.96,0.96,15.17,0,0.14,8.2,0.27,1.23,0.27,3.28,0.27,0.41,0,0,0,0,0.14,0.27,0,0,4.24,0.27,0,0,0,0
