stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.07,0,0,0.37,0,0,0.37,0,0,0,0.37,2.96,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,0,0,0,0,0
3Month,0.42,0.31,0.73,14.67,0.52,3.33,4.68,0.1,0,34.53,1.56,0.31,15.29,1.66,6.45,4.78,3.33,1.04,0,0.52,1.25,0.1,0,1.56,0,0,1.46,2.29,0.31,0.21,0.73,0.1,1.04
22Month,0,0.14,0,2.6,0.14,0.82,3.69,0.14,0,9.7,0.68,0.27,7.52,0.27,0.55,4.92,1.64,0.14,0.27,0,0.27,0,0,0,0.14,0,0,0.55,0.14,0,0,0,0.68
