stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0
21Day,0,0.74,0.74,0.37,0,0,0.37,0.37,0,0,0,0,0,1.11,0,0.37,0
3Month,0.21,0.52,0.31,0,0,0,0.52,0,0.21,0.1,0,0.1,0,0,0,0.1,0.1
22Month,0,0.41,0.14,0,0.14,0.14,2.73,0,0.14,0,0.27,0.14,0.14,0,0.14,0.68,0.14
