stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,1.56,0,0.62,0.1,0,0.31,0,0.1,1.77,0.73,0.21,0.31,0,0,0,0.21,0,0.1,0.21,0,0.1,0.73
22Month,0.14,0.27,1.23,0.14,0.27,0.41,0.14,6.29,0.41,0.27,0.55,0,1.37,0.68,0.14,0.27,0.14,0.14,0.41,0,0.14,0.14,0,0.41
