stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,4.51,0.28,0.28,0,0,0,0,0.28,11.84,0.56,0.28,11.27,0.28,0,0,3.66,3.66,1.13,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.31,0.1,0.73,0,0,0.21,0,0.83,0.94,0.1,0,0,0.1,0.31,0.1,0.31,0.1,0.1,0.1,0,0.21,27.36,1.04,2.08,0.21
22Month,0,0,0,0.27,0,0,0,0.14,1.78,0,0,0,0,0,0.14,0,0,0,0,0,0,0,5.19,0,0,0
