stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.85,1.41,0,0,0.56,0,0.28,0
21Day,0,0,0,0,0,0,0.37,0,0,1.11,0.74,0,0,0,0,0,1.48,0,0,0.37,1.11,0,0
3Month,0,4.78,0.1,0.1,0,0.21,0.1,0,0.21,0,0.1,0.1,0.1,0,0.21,0,0,0.1,0,0,2.39,0,4.78
22Month,0,0.82,0,0.14,0.41,1.23,0,0.14,0,0,0.14,0.27,0.14,0.14,0,0,0,0,0.14,0,1.37,0,0
