stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
3Month,0.31,0,0.31,0,0.1,0,0.1,0.1,0.1,0.1
22Month,0.55,0.14,2.32,0.14,0,0.27,0.27,0,0,0
